Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
459.2924919128418,5.616,1.06,106.0,580.0
460.2998387813568,5.616,1.08,106.0,580.0
461.30446910858154,5.616,0.92,112.0,620.0
462.31062865257263,5.62,1.06,102.0,560.0
463.31488966941833,5.62,0.93,98.0,560.0
464.3216507434845,5.624,0.96,105.0,580.0
465.32867431640625,5.62,1.02,104.0,580.0
466.33291721343994,5.616,1.08,96.0,520.0
467.3406112194061,5.62,1.09,107.0,580.0
468.3444435596466,5.616,1.04,106.0,580.0
469.3515131473541,5.624,0.94,103.0,580.0
470.35874032974243,5.616,1.04,108.0,620.0
471.3632323741913,5.616,1.05,107.0,580.0
472.37048506736755,5.62,0.92,93.0,520.0
473.37466740608215,5.616,1.07,107.0,580.0
474.38123893737793,5.616,1.06,104.0,580.0
475.38761138916016,5.62,0.96,91.0,520.0
476.3919041156769,5.62,0.95,95.0,520.0
477.3990435600281,5.616,1.06,108.0,620.0
478.40326595306396,5.62,0.95,91.0,520.0
479.4105088710785,5.612,1.1,107.0,580.0
480.4148726463318,5.62,1.01,94.0,520.0
481.4221701622009,5.62,0.93,94.0,520.0
482.42853903770447,5.616,0.92,94.0,520.0
483.4331576824188,5.616,1.05,106.0,580.0
484.44047355651855,5.62,0.93,94.0,520.0
485.4443681240082,5.612,1.04,106.0,580.0
486.4517619609833,5.616,1.07,105.0,580.0
487.4580662250519,5.62,0.91,95.0,520.0
488.4632787704468,5.62,0.92,93.0,520.0
489.4693124294281,5.616,1.07,107.0,580.0
490.4738504886627,5.62,0.95,94.0,520.0
491.4805521965027,5.616,1.04,106.0,580.0
492.4853620529175,5.612,1.06,107.0,580.0
493.4917585849762,5.616,0.95,95.0,520.0
494.4989798069,5.62,0.92,94.0,520.0
495.50439500808716,5.612,1.09,107.0,580.0
496.51012325286865,5.616,1.0,104.0,580.0
497.51516914367676,5.62,0.93,97.0,560.0
498.5215103626251,5.616,1.07,108.0,580.0
499.5283968448639,5.62,0.93,94.0,520.0
500.533047914505,5.616,0.97,97.0,560.0
501.5397219657898,5.616,1.03,106.0,580.0
502.5452632904053,5.62,0.93,95.0,520.0
503.55172848701477,5.612,1.04,109.0,620.0
504.55855441093445,5.616,1.06,102.0,560.0
505.5624945163727,5.616,0.93,94.0,520.0
506.5698516368866,5.616,0.95,102.0,560.0
507.5742642879486,5.612,1.06,99.0,560.0
508.58097791671753,5.616,1.02,94.0,520.0
509.585396528244,5.612,1.07,105.0,580.0
510.5922598838806,5.612,1.05,104.0,580.0
511.5988063812256,5.616,0.97,97.0,560.0
512.603527545929,5.612,1.06,105.0,580.0
513.610594034195,5.62,0.96,93.0,520.0
514.6148610115051,5.612,0.97,97.0,560.0
515.6216852664948,5.612,1.04,103.0,580.0
516.6284821033478,5.612,1.07,91.0,520.0
517.6327347755432,5.616,0.92,94.0,520.0
518.639895439148,5.612,1.05,104.0,580.0
519.6444499492645,5.616,0.92,94.0,520.0
520.6510922908783,5.616,0.94,94.0,520.0
521.6553452014923,5.612,1.09,106.0,580.0
522.6624643802643,5.608,1.07,105.0,580.0
523.6692228317261,5.616,0.94,94.0,520.0
524.6745266914368,5.612,1.06,108.0,580.0
525.6805262565613,5.616,0.94,96.0,520.0
526.6850154399872,5.616,0.94,92.0,520.0
527.6917927265167,5.612,1.04,103.0,580.0
528.6990833282471,5.616,0.92,91.0,520.0
529.7033760547638,5.616,0.93,95.0,520.0
