Time,Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
468.3672273159027,5.7,0.95,94.0,520.0
469.37299513816833,5.696,1.1,112.0,620.0
470.3785545825958,5.704,0.96,97.0,560.0
471.3844738006592,5.7,0.98,98.0,560.0
472.39124488830566,5.696,1.08,109.0,620.0
473.3967442512512,5.692,1.08,108.0,620.0
474.402272939682,5.7,0.96,96.0,560.0
475.40837597846985,5.696,1.07,108.0,620.0
476.41394209861755,5.7,0.95,98.0,560.0
477.42065811157227,5.7,0.97,98.0,560.0
478.4257550239563,5.696,1.07,106.0,580.0
479.4324309825897,5.7,0.97,94.0,520.0
480.43792843818665,5.7,0.95,97.0,560.0
481.4439866542816,5.696,1.06,109.0,620.0
482.45031690597534,5.696,0.98,99.0,560.0
483.45490646362305,5.7,0.97,97.0,560.0
484.4615685939789,5.692,1.07,110.0,620.0
485.4667999744415,5.696,0.97,97.0,560.0
486.47281670570374,5.7,0.95,97.0,560.0
487.4789412021637,5.696,1.06,108.0,620.0
488.48435831069946,5.696,0.97,101.0,580.0
489.49131178855896,5.696,0.96,110.0,620.0
490.4962453842163,5.696,1.07,110.0,620.0
491.5031168460846,5.696,0.95,99.0,560.0
492.50794291496277,5.696,0.95,106.0,580.0
493.5147442817688,5.692,1.08,112.0,620.0
494.5209822654724,5.696,1.03,95.0,560.0
495.5255913734436,5.692,1.09,106.0,580.0
496.53276085853577,5.692,1.07,108.0,620.0
497.5373194217682,5.692,0.97,92.0,520.0
498.5433144569397,5.692,1.05,112.0,620.0
499.5503237247467,5.696,0.95,96.0,560.0
500.55662727355957,5.696,0.96,97.0,560.0
501.56181359291077,5.692,1.09,109.0,620.0
502.56693172454834,5.696,1.09,95.0,560.0
503.57337856292725,5.696,0.98,96.0,560.0
504.5799238681793,5.692,1.1,112.0,620.0
505.58482837677,5.696,0.97,97.0,560.0
506.5911862850189,5.696,0.97,96.0,560.0
507.59703373908997,5.692,1.08,107.0,620.0
508.6031606197357,5.696,0.96,97.0,560.0
509.6096513271332,5.692,1.08,105.0,580.0
510.61433458328247,5.692,1.05,107.0,620.0
511.6206474304199,5.696,0.99,98.0,560.0
512.6262879371643,5.696,0.92,99.0,560.0
513.6327176094055,5.688,1.06,107.0,620.0
514.637601852417,5.696,0.97,95.0,560.0
515.6436946392059,5.696,0.97,95.0,560.0
516.6503250598907,5.696,0.97,95.0,560.0
517.6558558940887,5.692,1.08,110.0,620.0
518.6615207195282,5.696,0.94,97.0,560.0
519.6676478385925,5.688,1.09,104.0,580.0
520.6735417842865,5.692,1.09,109.0,620.0
521.6802151203156,5.696,0.95,95.0,560.0
522.6855173110962,5.688,1.07,112.0,620.0
523.6912631988525,5.696,0.94,98.0,560.0
524.6965665817261,5.692,0.94,96.0,560.0
525.703094959259,5.688,1.07,112.0,620.0
526.7093713283539,5.688,1.05,109.0,620.0
527.7144794464111,5.688,0.97,109.0,620.0
528.7212846279144,5.688,1.09,109.0,620.0
529.7262766361237,5.692,0.95,96.0,560.0
530.7322843074799,5.692,0.95,95.0,560.0
531.7384405136108,5.688,1.07,106.0,580.0
532.7447037696838,5.692,1.06,95.0,560.0
533.7501184940338,5.684,1.08,110.0,620.0
534.7554574012756,5.688,1.08,108.0,620.0
535.7617828845978,5.688,1.07,109.0,620.0
536.7684245109558,5.692,0.97,95.0,560.0
537.7740371227264,5.684,1.08,108.0,620.0
538.7792537212372,5.692,0.95,100.0,560.0
539.7842922210693,5.684,1.08,106.0,580.0
540.7918539047241,5.688,1.07,108.0,620.0
541.7998325824738,5.688,0.98,98.0,560.0
542.8037130832672,5.688,0.96,97.0,560.0
543.8088710308075,5.684,1.08,107.0,620.0
544.8154866695404,5.692,0.97,100.0,560.0
545.8217580318451,5.692,1.07,106.0,580.0
546.8267209529877,5.684,1.07,110.0,620.0
547.8321068286896,5.692,0.95,97.0,560.0
548.8391556739807,5.692,0.97,96.0,560.0
549.8431105613708,5.684,1.11,106.0,580.0
550.8511414527893,5.692,0.99,94.0,520.0
551.8563520908356,5.692,0.98,97.0,560.0
552.8611495494843,5.684,1.11,114.0,660.0
553.8686633110046,5.692,0.96,95.0,520.0
554.8742134571075,5.692,0.96,94.0,520.0
555.8799088001251,5.684,1.03,107.0,620.0
556.8852121829987,5.688,0.94,94.0,520.0
557.8923602104187,5.688,0.95,96.0,560.0
558.8983187675476,5.684,1.04,104.0,580.0
559.9028570652008,5.692,0.97,97.0,560.0
560.9092781543732,5.688,1.07,109.0,620.0
561.9152355194092,5.684,1.1,105.0,580.0
562.9213814735413,5.692,0.98,97.0,560.0
563.9275472164154,5.688,0.95,95.0,520.0
564.9319386482239,5.684,1.06,107.0,620.0
565.9390318393707,5.684,0.98,95.0,520.0
566.9448912143707,5.688,1.08,107.0,620.0
567.9512016773224,5.688,1.08,106.0,580.0
568.9561533927917,5.692,0.97,99.0,560.0
569.962317943573,5.688,0.96,109.0,620.0
570.9688019752502,5.684,1.09,107.0,620.0
571.9744384288788,5.692,0.94,98.0,560.0
572.980103969574,5.68,1.09,108.0,620.0
573.9863178730011,5.68,1.09,105.0,580.0
574.9912433624268,5.688,0.97,98.0,560.0
575.9983627796173,5.684,1.1,110.0,620.0
577.0037479400635,5.68,1.07,109.0,620.0
578.0102391242981,5.688,0.95,94.0,520.0
579.0150480270386,5.68,1.07,112.0,620.0
580.0212943553925,5.684,1.1,97.0,560.0
